"","pts","ast","trb"
"(Intercept)",0.200844854902938,5.5393636835767,-1.93094779369579
"salary",0.0586690750119498,-0.00670529100617662,0.0399060712857583
"age",-0.0402132278321996,-0.0243551908366224,-0.0275926652022902
"ht",-0.00910481057618,-0.0568605674130101,0.0438069432942494
"wt",0.00000716495807320455,-0.00000849701209994289,-0.00000165011958179351
"posC-F",0.387590402057936,0.089589329702305,0.0593974185555305
"posF",0.111678576356706,-0.253847159727758,-0.283047095285902
"posF-C",0.169214407514908,-0.170386127692916,-0.0873459925193101
"posF-G",0.330609918767367,-0.0500713855128936,-0.31205370075161
"posG",0.237611897513823,-0.109129938837777,-0.593489987674812
"posG-F",0.132998192793262,-0.261335241932825,-0.450414078218913
"gs",-0.0651829764589116,0.0256570560359767,0.0227691441007953
"g",0.00454421617637489,0.000833513172579462,0.00101306097608487
"mp",0.00232269520578878,0.000788857586513129,0.00071872829566866
