Season,Team,Lg,Salary,player_id
1995-96,Phoenix Suns,NBA,"$628,000",finlemi01
1996-97,Dallas Mavericks,NBA,"$723,000",finlemi01
1997-98,Dallas Mavericks,NBA,"$816,840",finlemi01
1998-99,Dallas Mavericks,NBA,"$6,000,000",finlemi01
1999-00,Dallas Mavericks,NBA,"$7,200,000",finlemi01
2000-01,Dallas Mavericks,NBA,"$8,400,000",finlemi01
2001-02,Dallas Mavericks,NBA,"$10,625,000",finlemi01
2002-03,Dallas Mavericks,NBA,"$11,953,125",finlemi01
2003-04,Dallas Mavericks,NBA,"$13,281,250",finlemi01
2004-05,Dallas Mavericks,NBA,"$14,609,375",finlemi01
2005-06,Dallas Mavericks,NBA,"$15,937,500",finlemi01
2005-06,San Antonio Spurs,NBA,"$2,675,000",finlemi01
2006-07,Dallas Mavericks,NBA,"$16,141,999",finlemi01
2006-07,San Antonio Spurs,NBA,"$2,889,000",finlemi01
2007-08,Dallas Mavericks,NBA,"$18,593,750",finlemi01
2007-08,San Antonio Spurs,NBA,"$3,103,000",finlemi01
2008-09,San Antonio Spurs,NBA,"$2,500,000",finlemi01
2009-10,San Antonio Spurs,NBA,"$2,500,000",finlemi01
Career,(may be incomplete),,"$138,576,839",finlemi01
