Season,Team,Lg,Salary,player_id
1995-96,Dallas Mavericks,NBA,"$971,000",parksch02
1996-97,Minnesota Timberwolves,NBA,"$1,117,000",parksch02
1997-98,Minnesota Timberwolves,NBA,"$1,262,640",parksch02
1998-99,Vancouver Grizzlies,NBA,"$2,000,000",parksch02
1999-00,Vancouver Grizzlies,NBA,"$1,925,000",parksch02
2000-01,Los Angeles Clippers,NBA,"$2,100,000",parksch02
2001-02,San Antonio Spurs,NBA,"$715,850",parksch02
2002-03,Los Angeles Clippers,NBA,"$824,935",parksch02
2003-04,Golden State Warriors,NBA,"$228,946",parksch02
Career,(may be incomplete),,"$11,145,371",parksch02
