Season,Team,Lg,Salary,player_id
2000-01,Detroit Pistons,NBA,"$1,253,400",cleavma01
2001-02,Sacramento Kings,NBA,"$1,347,480",cleavma01
2002-03,Sacramento Kings,NBA,"$1,441,440",cleavma01
2004-05,Seattle SuperSonics,NBA,"$735,960",cleavma01
2005-06,Seattle SuperSonics,NBA,"$305,784",cleavma01
Career,(may be incomplete),,"$5,084,064",cleavma01
