Season,Team,Lg,Salary,player_id
1990-91,Washington Bullets,NBA,"$800,000",hammoto01
1991-92,Washington Bullets,NBA,"$825,000",hammoto01
1992-93,Charlotte Hornets,NBA,"$850,000",hammoto01
1993-94,Denver Nuggets,NBA,"$800,000",hammoto01
1994-95,Denver Nuggets,NBA,"$700,000",hammoto01
1995-96,Denver Nuggets,NBA,"$970,000",hammoto01
1996-97,Denver Nuggets,NBA,"$1,070,000",hammoto01
1997-98,Denver Nuggets,NBA,"$970,000",hammoto01
1999-00,Minnesota Timberwolves,NBA,"$1,800,000",hammoto01
2000-01,Minnesota Timberwolves,NBA,"$1,130,000",hammoto01
2001-02,Minnesota Timberwolves,NBA,"$1,800,000",hammoto01
Career,(may be incomplete),,"$11,715,000",hammoto01
