Season,Team,Lg,Salary,player_id
1998-99,Houston Rockets,NBA,"$857,000",drewbr01
1999-00,Houston Rockets,NBA,"$1,105,560",drewbr01
2000-01,Chicago Bulls,NBA,"$1,182,600",drewbr01
2001-02,Charlotte Hornets,NBA,"$1,300,000",drewbr01
2002-03,New Orleans Hornets,NBA,"$1,300,000",drewbr01
2003-04,New Orleans Hornets,NBA,"$1,300,000",drewbr01
Career,(may be incomplete),,"$7,045,160",drewbr01
