Season,Team,Lg,Salary,player_id
2001-02,Golden State Warriors,NBA,"$1,310,400",murphtr01
2002-03,Golden State Warriors,NBA,"$1,408,680",murphtr01
2003-04,Golden State Warriors,NBA,"$1,506,960",murphtr01
2004-05,Golden State Warriors,NBA,"$2,231,808",murphtr01
2005-06,Golden State Warriors,NBA,"$7,365,079",murphtr01
2006-07,Indiana Pacers,NBA,"$8,285,714",murphtr01
2007-08,Indiana Pacers,NBA,"$9,206,349",murphtr01
2008-09,Indiana Pacers,NBA,"$10,126,984",murphtr01
2009-10,Indiana Pacers,NBA,"$11,047,619",murphtr01
2010-11,Golden State Warriors,NBA,"$11,968,253",murphtr01
2011-12,Los Angeles Lakers,NBA,"$1,352,181",murphtr01
2012-13,Dallas Mavericks,NBA,"$214,758",murphtr01
Career,(may be incomplete),,"$66,024,785",murphtr01
