Season,Team,Lg,Salary,player_id
1991-92,Utah Jazz,NBA,"$130,000",crowdco01
1992-93,Utah Jazz,NBA,"$250,000",crowdco01
1994-95,San Antonio Spurs,NBA,"$142,982",crowdco01
Career,(may be incomplete),,"$522,982",crowdco01
