Season,Team,Lg,Salary,player_id
2002-03,Golden State Warriors,NBA,"$3,100,080",dunlemi02
2003-04,Golden State Warriors,NBA,"$3,332,520",dunlemi02
2004-05,Golden State Warriors,NBA,"$3,565,080",dunlemi02
2005-06,Golden State Warriors,NBA,"$4,506,261",dunlemi02
2006-07,Indiana Pacers,NBA,"$7,438,016",dunlemi02
2007-08,Indiana Pacers,NBA,"$8,219,008",dunlemi02
2008-09,Indiana Pacers,NBA,"$9,000,000",dunlemi02
2009-10,Indiana Pacers,NBA,"$9,780,992",dunlemi02
2010-11,Indiana Pacers,NBA,"$10,561,984",dunlemi02
2011-12,Milwaukee Bucks,NBA,"$3,750,000",dunlemi02
2012-13,Milwaukee Bucks,NBA,"$3,750,000",dunlemi02
2013-14,Chicago Bulls,NBA,"$3,183,000",dunlemi02
2014-15,Chicago Bulls,NBA,"$3,326,235",dunlemi02
2015-16,Chicago Bulls,NBA,"$4,500,000",dunlemi02
2016-17,Atlanta Hawks,NBA,"$4,837,500",dunlemi02
2017-18,Atlanta Hawks,NBA,"$1,662,500",dunlemi02
Career,(may be incomplete),,"$84,513,176",dunlemi02
