Season,Team,Lg,Salary,player_id
1984-85,Dallas Mavericks,NBA,"$215,000",blackro01
1985-86,Dallas Mavericks,NBA,"$501,106",blackro01
1987-88,Dallas Mavericks,NBA,"$541,736",blackro01
1988-89,Dallas Mavericks,NBA,"$541,700",blackro01
1989-90,Dallas Mavericks,NBA,"$1,200,000",blackro01
1990-91,Dallas Mavericks,NBA,"$1,650,000",blackro01
1991-92,Dallas Mavericks,NBA,"$1,920,000",blackro01
1992-93,New York Knicks,NBA,"$1,500,000",blackro01
1993-94,New York Knicks,NBA,"$1,995,000",blackro01
1994-95,New York Knicks,NBA,"$1,340,000",blackro01
Career,(may be incomplete),,"$11,404,542",blackro01
