Season,Team,Lg,Salary,player_id
1995-96,Seattle SuperSonics,NBA,"$200,000",snower01
1996-97,Seattle SuperSonics,NBA,"$247,500",snower01
1997-98,Seattle SuperSonics,NBA,"$706,300",snower01
1998-99,Philadelphia 76ers,NBA,"$846,300",snower01
1999-00,Philadelphia 76ers,NBA,"$3,000,000",snower01
2000-01,Philadelphia 76ers,NBA,"$3,380,000",snower01
2001-02,Philadelphia 76ers,NBA,"$3,750,000",snower01
2002-03,Philadelphia 76ers,NBA,"$4,125,000",snower01
2003-04,Philadelphia 76ers,NBA,"$4,500,000",snower01
2004-05,Cleveland Cavaliers,NBA,"$4,875,000",snower01
2005-06,Cleveland Cavaliers,NBA,"$5,484,375",snower01
2006-07,Cleveland Cavaliers,NBA,"$6,093,750",snower01
2007-08,Cleveland Cavaliers,NBA,"$6,703,125",snower01
2008-09,Cleveland Cavaliers,NBA,"$7,312,500",snower01
Career,(may be incomplete),,"$51,223,850",snower01
