Season,Team,Lg,Salary,player_id
2008-09,Orlando Magic,NBA,"$1,176,240",leeco01
2009-10,New Jersey Nets,NBA,"$1,264,440",leeco01
2010-11,Houston Rockets,NBA,"$1,409,040",leeco01
2011-12,Houston Rockets,NBA,"$2,225,093",leeco01
2012-13,Boston Celtics,NBA,"$5,000,000",leeco01
2013-14,Memphis Grizzlies,NBA,"$5,225,000",leeco01
2014-15,Memphis Grizzlies,NBA,"$5,450,000",leeco01
2015-16,Charlotte Hornets,NBA,"$5,675,000",leeco01
2016-17,New York Knicks,NBA,"$11,242,000",leeco01
2017-18,New York Knicks,NBA,"$11,747,890",leeco01
2018-19,Dallas Mavericks,NBA,"$12,253,780",leeco01
2019-20,Dallas Mavericks,NBA,"$12,759,670",leeco01
Career,(may be incomplete),,"$75,428,153",leeco01
