Season,Team,Lg,Salary,player_id
2004-05,Chicago Bulls,NBA,"$385,277",reineja01
2005-06,Phoenix Suns,NBA,"$242,612",reineja01
2006-07,Milwaukee Bucks,NBA,"$396,905",reineja01
Career,(may be incomplete),,"$1,024,794",reineja01
