Season,Team,Lg,Salary,player_id
2012-13,Detroit Pistons,NBA,"$2,356,320",drumman01
2013-14,Detroit Pistons,NBA,"$2,462,400",drumman01
2014-15,Detroit Pistons,NBA,"$2,568,360",drumman01
2015-16,Detroit Pistons,NBA,"$3,272,091",drumman01
2016-17,Detroit Pistons,NBA,"$22,116,750",drumman01
2017-18,Detroit Pistons,NBA,"$23,775,506",drumman01
2018-19,Detroit Pistons,NBA,"$25,434,263",drumman01
2019-20,Cleveland Cavaliers,NBA,"$27,093,019",drumman01
2020-21,Cleveland Cavaliers,NBA,"$27,957,238",drumman01
2020-21,Los Angeles Lakers,NBA,"$554,988",drumman01
2021-22,Brooklyn Nets,NBA,"$2,401,537",drumman01
Career,(may be incomplete),,"$139,992,472",drumman01
