Season,Team,Lg,Salary,player_id
1997-98,Dallas Mavericks,NBA,"$713,900",anstech01
1998-99,Dallas Mavericks,NBA,"$985,200",anstech01
1999-00,Chicago Bulls,NBA,"$1,113,720",anstech01
Career,(may be incomplete),,"$2,812,820",anstech01
