Season,Team,Lg,Salary,player_id
2019-20,Cleveland Cavaliers,NBA,"$6,400,920",garlada01
2020-21,Cleveland Cavaliers,NBA,"$6,720,720",garlada01
2021-22,Cleveland Cavaliers,NBA,"$7,040,880",garlada01
Career,(may be incomplete),,"$20,162,520",garlada01
