Season,Team,Lg,Salary,player_id
2016-17,New Orleans Pelicans,NBA,"$79,922",cookqu01
2016-17,Dallas Mavericks,NBA,"$31,969",cookqu01
2017-18,Atlanta Hawks,NBA,"$100,000",cookqu01
2017-18,New Orleans Pelicans,NBA,"$25,000",cookqu01
2017-18,Golden State Warriors,NBA,"$14,832 (TW)",cookqu01
2018-19,Golden State Warriors,NBA,"$1,544,951",cookqu01
2019-20,Los Angeles Lakers,NBA,"$3,000,000",cookqu01
2020-21,Los Angeles Lakers,NBA,"$1,797,183",cookqu01
2020-21,Cleveland Cavaliers,NBA,"$221,996",cookqu01
Career,(may be incomplete),,"$6,815,853",cookqu01
