Season,Team,Lg,Salary,player_id
1994-95,Orlando Magic,NBA,"$26,316",towerke01
1995-96,Los Angeles Clippers,NBA,"$263,000",towerke01
Career,(may be incomplete),,"$289,316",towerke01
