Season,Team,Lg,Salary,player_id
1998-99,Atlanta Hawks,NBA,"$740,000",mcleoro01
1999-00,Atlanta Hawks,NBA,"$914,760",mcleoro01
2000-01,Atlanta Hawks,NBA,"$978,600",mcleoro01
2001-02,Boston Celtics,NBA,"$1,509,001",mcleoro01
Career,(may be incomplete),,"$4,142,361",mcleoro01
