Season,Team,Lg,Salary,player_id
2004-05,Toronto Raptors,NBA,"$385,277",bonnema01
2005-06,Toronto Raptors,NBA,"$2,000,000",bonnema01
2006-07,San Antonio Spurs,NBA,"$2,000,000",bonnema01
2007-08,San Antonio Spurs,NBA,"$2,678,000",bonnema01
2008-09,San Antonio Spurs,NBA,"$2,987,000",bonnema01
2009-10,San Antonio Spurs,NBA,"$3,240,380",bonnema01
2010-11,San Antonio Spurs,NBA,"$3,000,000",bonnema01
2011-12,San Antonio Spurs,NBA,"$3,315,000",bonnema01
2012-13,San Antonio Spurs,NBA,"$3,630,000",bonnema01
2013-14,San Antonio Spurs,NBA,"$3,945,000",bonnema01
2014-15,San Antonio Spurs,NBA,"$1,448,490",bonnema01
2015-16,San Antonio Spurs,NBA,"$1,499,187",bonnema01
Career,(may be incomplete),,"$30,128,334",bonnema01
