Season,Team,Lg,Salary,player_id
1985-86,Milwaukee Bucks,NBA,"$90,000",davisch02
1988-89,Chicago Bulls,NBA,"$150,000",davisch02
Career,(may be incomplete),,"$240,000",davisch02
