Season,Team,Lg,Salary,player_id
1984-85,Houston Rockets,NBA,"$80,000",ehlocr01
1985-86,Houston Rockets,NBA,"$105,000",ehlocr01
1987-88,Cleveland Cavaliers,NBA,"$175,000",ehlocr01
1988-89,Cleveland Cavaliers,NBA,"$300,000",ehlocr01
1990-91,Cleveland Cavaliers,NBA,"$925,000",ehlocr01
1991-92,Cleveland Cavaliers,NBA,"$925,000",ehlocr01
1992-93,Cleveland Cavaliers,NBA,"$1,075,000",ehlocr01
1993-94,Atlanta Hawks,NBA,"$1,200,000",ehlocr01
1994-95,Atlanta Hawks,NBA,"$2,650,000",ehlocr01
1995-96,Atlanta Hawks,NBA,"$1,855,000",ehlocr01
1996-97,Seattle SuperSonics,NBA,"$360,000",ehlocr01
1997-98,Seattle SuperSonics,NBA,"$432,081",ehlocr01
1998-99,Seattle SuperSonics,NBA,"$504,082",ehlocr01
Career,(may be incomplete),,"$10,586,163",ehlocr01
