Season,Team,Lg,Salary,player_id
1994-95,Philadelphia 76ers,NBA,"$150,000",alstode01
1995-96,Philadelphia 76ers,NBA,"$350,000",alstode01
Career,(may be incomplete),,"$500,000",alstode01
