Season,Team,Lg,Salary,player_id
2002-03,Los Angeles Lakers,NBA,"$349,458",pargoja01
2003-04,Los Angeles Lakers,NBA,"$563,679",pargoja01
2004-05,Chicago Bulls,NBA,"$695,046",pargoja01
2005-06,Chicago Bulls,NBA,"$895,248",pargoja01
2006-07,New Orleans/Oklahoma City Hornets,NBA,"$1,000,000",pargoja01
2007-08,New Orleans Hornets,NBA,"$1,830,000",pargoja01
2009-10,Chicago Bulls,NBA,"$2,000,000",pargoja01
2011-12,Atlanta Hawks,NBA,"$1,223,166",pargoja01
2012-13,Atlanta Hawks,NBA,"$165,487",pargoja01
2012-13,Washington Wizards,NBA,"$115,122",pargoja01
2013-14,Charlotte Bobcats,NBA,"$1,399,507",pargoja01
2014-15,Charlotte Hornets,NBA,"$1,448,490",pargoja01
Career,(may be incomplete),,"$11,685,203",pargoja01
