Season,Team,Lg,Salary,player_id
2002-03,Houston Rockets,NBA,"$1,224,000",nachbbo01
2003-04,Houston Rockets,NBA,"$1,396,440",nachbbo01
2004-05,Houston Rockets,NBA,"$1,493,880",nachbbo01
2005-06,New Orleans/Oklahoma City Hornets,NBA,"$2,500,000",nachbbo01
2006-07,New Jersey Nets,NBA,"$2,500,000",nachbbo01
2007-08,New Jersey Nets,NBA,"$2,500,000",nachbbo01
Career,(may be incomplete),,"$11,614,320",nachbbo01
