Season,Team,Lg,Salary,player_id
1990-91,Los Angeles Clippers,NBA,"$825,000",vaughlo01
1991-92,Los Angeles Clippers,NBA,"$1,000,000",vaughlo01
1992-93,Los Angeles Clippers,NBA,"$1,100,000",vaughlo01
1993-94,Los Angeles Clippers,NBA,"$1,225,000",vaughlo01
1994-95,Los Angeles Clippers,NBA,"$2,750,000",vaughlo01
1995-96,Los Angeles Clippers,NBA,"$3,000,000",vaughlo01
1996-97,Los Angeles Clippers,NBA,"$3,100,000",vaughlo01
1997-98,Los Angeles Clippers,NBA,"$3,350,000",vaughlo01
1998-99,Detroit Pistons,NBA,"$3,830,000",vaughlo01
1999-00,Detroit Pistons,NBA,"$4,180,000",vaughlo01
2000-01,Dallas Mavericks,NBA,"$4,812,025",vaughlo01
2001-02,Washington Wizards,NBA,"$5,222,025",vaughlo01
2002-03,Washington Wizards,NBA,"$5,364,964",vaughlo01
Career,(may be incomplete),,"$39,759,014",vaughlo01
