Season,Team,Lg,Salary,player_id
1990-91,Golden State Warriors,NBA,"$50,000",eliema01
1991-92,Golden State Warriors,NBA,"$130,000",eliema01
1992-93,Portland Trail Blazers,NBA,"$608,000",eliema01
1993-94,Houston Rockets,NBA,"$790,000",eliema01
1994-95,Houston Rockets,NBA,"$1,450,000",eliema01
1995-96,Houston Rockets,NBA,"$1,450,000",eliema01
1996-97,Houston Rockets,NBA,"$1,400,000",eliema01
1997-98,Houston Rockets,NBA,"$2,430,000",eliema01
1998-99,San Antonio Spurs,NBA,"$1,750,000",eliema01
1999-00,San Antonio Spurs,NBA,"$1,925,000",eliema01
2000-01,Phoenix Suns,NBA,"$1,000,000",eliema01
Career,(may be incomplete),,"$12,983,000",eliema01
