Season,Team,Lg,Salary,player_id
1984-85,Boston Celtics,NBA,"$120,000",kitegr01
1985-86,Boston Celtics,NBA,"$150,000",kitegr01
1987-88,Los Angeles Clippers,NBA,"$200,000",kitegr01
1988-89,Los Angeles Clippers,NBA,"$250,000",kitegr01
1990-91,Orlando Magic,NBA,"$480,000",kitegr01
1991-92,Orlando Magic,NBA,"$700,000",kitegr01
1992-93,Orlando Magic,NBA,"$775,000",kitegr01
1993-94,Orlando Magic,NBA,"$985,000",kitegr01
1994-95,Orlando Magic,NBA,"$1,195,000",kitegr01
Career,(may be incomplete),,"$4,855,000",kitegr01
