Season,Team,Lg,Salary,player_id
2003-04,Portland Trail Blazers,NBA,"$349,032",carroma01
2005-06,Charlotte Bobcats,NBA,"$1,100,000",carroma01
2006-07,Charlotte Bobcats,NBA,"$1,188,000",carroma01
2007-08,Charlotte Bobcats,NBA,"$5,450,000",carroma01
2008-09,Dallas Mavericks,NBA,"$5,050,000",carroma01
2009-10,Dallas Mavericks,NBA,"$4,700,000",carroma01
2010-11,Charlotte Bobcats,NBA,"$4,300,000",carroma01
2011-12,Charlotte Bobcats,NBA,"$3,900,000",carroma01
2012-13,New Orleans Hornets,NBA,"$3,500,000",carroma01
Career,(may be incomplete),,"$29,537,032",carroma01
