Season,Team,Lg,Salary,player_id
1988-89,Washington Bullets,NBA,"$425,000",grantha01
1990-91,Washington Bullets,NBA,"$475,000",grantha01
1991-92,Washington Bullets,NBA,"$450,000",grantha01
1992-93,Washington Bullets,NBA,"$1,625,000",grantha01
1993-94,Portland Trail Blazers,NBA,"$2,429,000",grantha01
1994-95,Portland Trail Blazers,NBA,"$2,990,000",grantha01
1995-96,Portland Trail Blazers,NBA,"$3,551,000",grantha01
1996-97,Washington Bullets,NBA,"$4,111,000",grantha01
1997-98,Washington Wizards,NBA,"$4,671,875",grantha01
1998-99,Philadelphia 76ers,NBA,"$1,000,000",grantha01
1999-00,Orlando Magic,NBA,"$1,200,000",grantha01
Career,(may be incomplete),,"$22,927,875",grantha01
