Season,Team,Lg,Salary,player_id
2012-13,New Orleans Hornets,NBA,"$2,238,360",riverau01
2013-14,New Orleans Pelicans,NBA,"$2,339,040",riverau01
2014-15,Los Angeles Clippers,NBA,"$2,439,840",riverau01
2015-16,Los Angeles Clippers,NBA,"$3,100,000",riverau01
2016-17,Los Angeles Clippers,NBA,"$11,000,000",riverau01
2017-18,Los Angeles Clippers,NBA,"$11,825,000",riverau01
2018-19,Phoenix Suns,NBA,"$12,000,000",riverau01
2018-19,Houston Rockets,NBA,"$1,155,323",riverau01
2019-20,Houston Rockets,NBA,"$2,174,318",riverau01
2020-21,Oklahoma City Thunder,NBA,"$3,500,000",riverau01
2020-21,Denver Nuggets,NBA,"$299,694",riverau01
2021-22,Denver Nuggets,NBA,"$2,401,537",riverau01
Career,(may be incomplete),,"$54,473,112",riverau01
