Season,Team,Lg,Salary,player_id
1997-98,Orlando Magic,NBA,"$5,000",brunsri01
1998-99,New York Knicks,NBA,"$350,000",brunsri01
1999-00,New York Knicks,NBA,"$485,000",brunsri01
2000-01,New York Knicks,NBA,"$523,500",brunsri01
2000-01,Miami Heat,NBA,"$16,000",brunsri01
2001-02,Portland Trail Blazers,NBA,"$590,850",brunsri01
2002-03,Chicago Bulls,NBA,"$699,935",brunsri01
2003-04,Chicago Bulls,NBA,"$813,679",brunsri01
2004-05,Los Angeles Clippers,NBA,"$932,546",brunsri01
2005-06,Seattle SuperSonics,NBA,"$1,029,873",brunsri01
Career,(may be incomplete),,"$5,446,383",brunsri01
