Season,Team,Lg,Salary,player_id
2013-14,Oklahoma City Thunder,NBA,"$2,090,880",adamsst01
2014-15,Oklahoma City Thunder,NBA,"$2,184,960",adamsst01
2015-16,Oklahoma City Thunder,NBA,"$2,279,040",adamsst01
2016-17,Oklahoma City Thunder,NBA,"$3,140,517",adamsst01
2017-18,Oklahoma City Thunder,NBA,"$22,471,910",adamsst01
2018-19,Oklahoma City Thunder,NBA,"$24,157,304",adamsst01
2019-20,Oklahoma City Thunder,NBA,"$25,842,697",adamsst01
2020-21,New Orleans Pelicans,NBA,"$29,592,695",adamsst01
2021-22,Memphis Grizzlies,NBA,"$17,073,171",adamsst01
Career,(may be incomplete),,"$128,833,174",adamsst01
