Season,Team,Lg,Salary,player_id
1997-98,Utah Jazz,NBA,"$242,000",hudsotr01
1998-99,Los Angeles Clippers,NBA,"$287,500",hudsotr01
1999-00,Los Angeles Clippers,NBA,"$460,000",hudsotr01
2000-01,Orlando Magic,NBA,"$523,500",hudsotr01
2001-02,Orlando Magic,NBA,"$590,850",hudsotr01
2002-03,Minnesota Timberwolves,NBA,"$2,000,000",hudsotr01
2003-04,Minnesota Timberwolves,NBA,"$2,100,000",hudsotr01
2004-05,Minnesota Timberwolves,NBA,"$4,903,000",hudsotr01
2005-06,Minnesota Timberwolves,NBA,"$5,253,000",hudsotr01
2006-07,Minnesota Timberwolves,NBA,"$5,603,000",hudsotr01
2007-08,Minnesota Timberwolves,NBA,"$5,953,000",hudsotr01
2007-08,Golden State Warriors,NBA,"$1,219,590",hudsotr01
Career,(may be incomplete),,"$29,135,440",hudsotr01
