Season,Team,Lg,Salary,player_id
2019-20,Oklahoma City Thunder,NBA,"$2,284,800",bazleda01
2020-21,Oklahoma City Thunder,NBA,"$2,399,160",bazleda01
2021-22,Oklahoma City Thunder,NBA,"$2,513,040",bazleda01
Career,(may be incomplete),,"$7,197,000",bazleda01
