Season,Team,Lg,Salary,player_id
2001-02,Sacramento Kings,NBA,"$797,880",wallage01
2002-03,Sacramento Kings,NBA,"$857,760",wallage01
2003-04,Sacramento Kings,NBA,"$917,520",wallage01
2004-05,Charlotte Bobcats,NBA,"$1,652,453",wallage01
2005-06,Charlotte Bobcats,NBA,"$5,000,000",wallage01
2006-07,Charlotte Bobcats,NBA,"$5,525,000",wallage01
2007-08,Charlotte Bobcats,NBA,"$9,500,000",wallage01
2008-09,Charlotte Bobcats,NBA,"$9,500,000",wallage01
2009-10,Charlotte Bobcats,NBA,"$9,075,000",wallage01
2010-11,Portland Trail Blazers,NBA,"$10,500,000",wallage01
2011-12,Portland Trail Blazers,NBA,"$9,500,000",wallage01
2012-13,Brooklyn Nets,NBA,"$9,682,435",wallage01
2013-14,Boston Celtics,NBA,"$10,105,855",wallage01
2014-15,Boston Celtics,NBA,"$10,105,855",wallage01
2015-16,Philadelphia 76ers,NBA,"$10,105,855",wallage01
Career,(may be incomplete),,"$102,825,613",wallage01
