Season,Team,Lg,Salary,player_id
1999-00,Chicago Bulls,NBA,"$1,079,760",artesro01
2000-01,Chicago Bulls,NBA,"$1,160,760",artesro01
2001-02,Chicago Bulls,NBA,"$1,241,760",artesro01
2002-03,Indiana Pacers,NBA,"$1,904,860",artesro01
2003-04,Indiana Pacers,NBA,"$5,473,684",artesro01
2004-05,Indiana Pacers,NBA,"$6,157,895",artesro01
2005-06,Indiana Pacers,NBA,"$6,842,105",artesro01
2006-07,Sacramento Kings,NBA,"$7,526,316",artesro01
2007-08,Sacramento Kings,NBA,"$7,400,000",artesro01
2008-09,Houston Rockets,NBA,"$7,400,000",artesro01
2009-10,Los Angeles Lakers,NBA,"$5,854,000",artesro01
2010-11,Los Angeles Lakers,NBA,"$6,322,320",artesro01
2011-12,Los Angeles Lakers,NBA,"$6,790,640",artesro01
2012-13,Los Angeles Lakers,NBA,"$7,258,960",artesro01
2013-14,New York Knicks,NBA,"$1,590,000",artesro01
2015-16,Los Angeles Lakers,NBA,"$1,499,187",artesro01
2016-17,Los Angeles Lakers,NBA,"$1,551,659",artesro01
Career,(may be incomplete),,"$77,053,906",artesro01
