Season,Team,Lg,Salary,player_id
1984-85,New York Knicks,NBA,"$874,000",kingbe01
1985-86,New York Knicks,NBA,"$874,000",kingbe01
1986-87,New York Knicks,NBA,"$874,000",kingbe01
1987-88,Washington Bullets,NBA,"$1,000,000",kingbe01
1988-89,Washington Bullets,NBA,"$1,100,000",kingbe01
1989-90,Washington Bullets,NBA,"$1,500,000",kingbe01
1990-91,Washington Bullets,NBA,"$1,600,000",kingbe01
1991-92,Washington Bullets,NBA,"$2,525,000",kingbe01
1992-93,Washington Bullets,NBA,"$2,500,000",kingbe01
Career,(may be incomplete),,"$12,847,000",kingbe01
