Season,Team,Lg,Salary,player_id
1984-85,Kansas City Kings,NBA,"$225,000",johnsed03
1985-86,Sacramento Kings,NBA,"$325,000",johnsed03
1987-88,Phoenix Suns,NBA,"$675,000",johnsed03
1988-89,Phoenix Suns,NBA,"$675,000",johnsed03
1990-91,Seattle SuperSonics,NBA,"$1,000,000",johnsed03
1991-92,Seattle SuperSonics,NBA,"$1,050,000",johnsed03
1992-93,Seattle SuperSonics,NBA,"$1,100,000",johnsed03
1993-94,Charlotte Hornets,NBA,"$1,150,000",johnsed03
1995-96,Indiana Pacers,NBA,"$1,000,000",johnsed03
1996-97,Indiana Pacers,NBA,"$1,200,000",johnsed03
1997-98,Houston Rockets,NBA,"$326,700",johnsed03
1997-98,Denver Nuggets,NBA,"$300,000",johnsed03
1999-00,Houston Rockets,NBA,"$1,000,000",johnsed03
Career,(may be incomplete),,"$10,026,700",johnsed03
