Season,Team,Lg,Salary,player_id
2013-14,Boston Celtics,NBA,"$1,986,360",olynyke01
2014-15,Boston Celtics,NBA,"$2,075,760",olynyke01
2015-16,Boston Celtics,NBA,"$2,165,160",olynyke01
2016-17,Boston Celtics,NBA,"$3,094,014",olynyke01
2017-18,Miami Heat,NBA,"$10,607,169",olynyke01
2018-19,Miami Heat,NBA,"$12,137,527",olynyke01
2019-20,Miami Heat,NBA,"$11,667,885",olynyke01
2020-21,Houston Rockets,NBA,"$12,819,649",olynyke01
2021-22,Detroit Pistons,NBA,"$12,195,122",olynyke01
Career,(may be incomplete),,"$68,748,646",olynyke01
