Season,Team,Lg,Salary,player_id
2013-14,Portland Trail Blazers,NBA,"$825,000",crabbal01
2014-15,Portland Trail Blazers,NBA,"$862,000",crabbal01
2015-16,Portland Trail Blazers,NBA,"$947,276",crabbal01
2016-17,Portland Trail Blazers,NBA,"$18,500,000",crabbal01
2017-18,Brooklyn Nets,NBA,"$19,332,500",crabbal01
2018-19,Brooklyn Nets,NBA,"$18,500,000",crabbal01
2019-20,Minnesota Timberwolves,NBA,"$17,818,456",crabbal01
Career,(may be incomplete),,"$76,785,232",crabbal01
