Season,Team,Lg,Salary,player_id
2005-06,Charlotte Bobcats,NBA,"$2,847,360",feltora01
2006-07,Charlotte Bobcats,NBA,"$3,060,840",feltora01
2007-08,Charlotte Bobcats,NBA,"$3,274,440",feltora01
2008-09,Charlotte Bobcats,NBA,"$4,148,716",feltora01
2009-10,Charlotte Bobcats,NBA,"$5,501,196",feltora01
2010-11,Denver Nuggets,NBA,"$7,500,000",feltora01
2011-12,Portland Trail Blazers,NBA,"$7,560,000",feltora01
2012-13,New York Knicks,NBA,"$3,480,453",feltora01
2013-14,New York Knicks,NBA,"$3,637,073",feltora01
2014-15,Dallas Mavericks,NBA,"$3,793,693",feltora01
2015-16,Dallas Mavericks,NBA,"$3,950,313",feltora01
2016-17,Los Angeles Clippers,NBA,"$1,551,659",feltora01
2017-18,Oklahoma City Thunder,NBA,"$1,471,382",feltora01
2018-19,Oklahoma City Thunder,NBA,"$2,393,887",feltora01
Career,(may be incomplete),,"$54,171,012",feltora01
