Season,Team,Lg,Salary,player_id
1997-98,Boston Celtics,NBA,"$2,384,640",billuch01
1998-99,Denver Nuggets,NBA,"$2,742,000",billuch01
1999-00,Orlando Magic,NBA,"$3,100,080",billuch01
2000-01,Minnesota Timberwolves,NBA,"$2,250,000",billuch01
2001-02,Minnesota Timberwolves,NBA,"$2,475,000",billuch01
2002-03,Detroit Pistons,NBA,"$4,546,000",billuch01
2003-04,Detroit Pistons,NBA,"$5,000,600",billuch01
2004-05,Detroit Pistons,NBA,"$5,455,200",billuch01
2005-06,Detroit Pistons,NBA,"$5,909,800",billuch01
2006-07,Detroit Pistons,NBA,"$6,364,400",billuch01
2007-08,Detroit Pistons,NBA,"$10,000,000",billuch01
2008-09,Denver Nuggets,NBA,"$11,050,000",billuch01
2009-10,Denver Nuggets,NBA,"$12,100,000",billuch01
2010-11,New York Knicks,NBA,"$13,150,000",billuch01
2011-12,New York Knicks,NBA,"$12,199,968",billuch01
2011-12,Los Angeles Clippers,NBA,"$2,000,032",billuch01
2012-13,Los Angeles Clippers,NBA,"$4,000,000",billuch01
2013-14,Detroit Pistons,NBA,"$2,500,000",billuch01
Career,(may be incomplete),,"$107,227,720",billuch01
