Season,Team,Lg,Salary,player_id
2015-16,Indiana Pacers,NBA,"$1,000,000",youngjo01
2016-17,Indiana Pacers,NBA,"$1,052,342",youngjo01
2017-18,Indiana Pacers,NBA,"$1,471,382",youngjo01
Career,(may be incomplete),,"$3,523,724",youngjo01
