Season,Team,Lg,Salary,player_id
1988-89,Miami Heat,NBA,"$650,000",seikaro01
1990-91,Miami Heat,NBA,"$755,000",seikaro01
1991-92,Miami Heat,NBA,"$2,002,000",seikaro01
1992-93,Miami Heat,NBA,"$2,382,000",seikaro01
1993-94,Miami Heat,NBA,"$3,057,000",seikaro01
1994-95,Golden State Warriors,NBA,"$3,297,000",seikaro01
1995-96,Golden State Warriors,NBA,"$3,532,000",seikaro01
1996-97,Orlando Magic,NBA,"$3,752,000",seikaro01
1997-98,Orlando Magic,NBA,"$4,002,000",seikaro01
1998-99,New Jersey Nets,NBA,"$4,252,000",seikaro01
Career,(may be incomplete),,"$27,681,000",seikaro01
