Season,Team,Lg,Salary,player_id
1999-00,Washington Wizards,NBA,"$1,836,240",hamilri01
2000-01,Washington Wizards,NBA,"$1,973,880",hamilri01
2001-02,Washington Wizards,NBA,"$2,111,640",hamilri01
2002-03,Detroit Pistons,NBA,"$2,681,783",hamilri01
2003-04,Detroit Pistons,NBA,"$6,500,000",hamilri01
2004-05,Detroit Pistons,NBA,"$7,812,500",hamilri01
2005-06,Detroit Pistons,NBA,"$8,625,000",hamilri01
2006-07,Detroit Pistons,NBA,"$9,187,500",hamilri01
2007-08,Detroit Pistons,NBA,"$10,000,000",hamilri01
2008-09,Detroit Pistons,NBA,"$10,812,500",hamilri01
2009-10,Detroit Pistons,NBA,"$11,625,000",hamilri01
2010-11,Detroit Pistons,NBA,"$12,500,000",hamilri01
2011-12,Detroit Pistons,NBA,"$12,500,000",hamilri01
2011-12,Chicago Bulls,NBA,"$5,000,000",hamilri01
2012-13,Chicago Bulls,NBA,"$5,000,000",hamilri01
2013-14,Chicago Bulls,NBA,"$1,000,000",hamilri01
2014-15,Chicago Bulls,NBA,"$333,333",hamilri01
Career,(may be incomplete),,"$109,499,376",hamilri01
