Season,Team,Lg,Salary,player_id
2011-12,Milwaukee Bucks,NBA,"$1,418,160",harrito02
2012-13,Orlando Magic,NBA,"$1,524,480",harrito02
2013-14,Orlando Magic,NBA,"$1,545,840",harrito02
2014-15,Orlando Magic,NBA,"$2,380,594",harrito02
2015-16,Detroit Pistons,NBA,"$16,000,000",harrito02
2016-17,Detroit Pistons,NBA,"$17,200,000",harrito02
2017-18,Los Angeles Clippers,NBA,"$16,000,000",harrito02
2018-19,Philadelphia 76ers,NBA,"$14,800,000",harrito02
2019-20,Philadelphia 76ers,NBA,"$32,742,000",harrito02
2020-21,Philadelphia 76ers,NBA,"$34,358,850",harrito02
2021-22,Philadelphia 76ers,NBA,"$35,995,950",harrito02
Career,(may be incomplete),,"$173,965,874",harrito02
