Season,Team,Lg,Salary,player_id
2020-21,Detroit Pistons,NBA,"$3,121,080",stewais01
2021-22,Detroit Pistons,NBA,"$3,277,080",stewais01
Career,(may be incomplete),,"$6,398,160",stewais01
