Season,Team,Lg,Salary,player_id
1985-86,Philadelphia 76ers,NBA,"$150,000",catlete01
1986-87,Washington Bullets,NBA,"$150,000",catlete01
1987-88,Washington Bullets,NBA,"$410,000",catlete01
1988-89,Washington Bullets,NBA,"$460,000",catlete01
1990-91,Orlando Magic,NBA,"$1,085,000",catlete01
1991-92,Orlando Magic,NBA,"$1,386,000",catlete01
1992-93,Orlando Magic,NBA,"$1,086,000",catlete01
1993-94,Orlando Magic,NBA,"$1,386,000",catlete01
1994-95,Orlando Magic,NBA,"$1,685,700",catlete01
Career,(may be incomplete),,"$7,798,700",catlete01
