Season,Team,Lg,Salary,player_id
1985-86,Chicago Bulls,NBA,"$135,000",smrekmi01
1987-88,Los Angeles Lakers,NBA,"$200,000",smrekmi01
1988-89,San Antonio Spurs,NBA,"$175,000",smrekmi01
1990-91,Los Angeles Clippers,NBA,"$325,000",smrekmi01
Career,(may be incomplete),,"$835,000",smrekmi01
