Season,Team,Lg,Salary,player_id
1997-98,Philadelphia 76ers,NBA,"$1,614,240",thomati01
1998-99,Milwaukee Bucks,NBA,"$1,856,000",thomati01
1999-00,Milwaukee Bucks,NBA,"$2,098,560",thomati01
2000-01,Milwaukee Bucks,NBA,"$8,510,000",thomati01
2001-02,Milwaukee Bucks,NBA,"$9,675,000",thomati01
2002-03,Milwaukee Bucks,NBA,"$10,750,000",thomati01
2003-04,Milwaukee Bucks,NBA,"$11,825,000",thomati01
2004-05,New York Knicks,NBA,"$12,900,000",thomati01
2005-06,Chicago Bulls,NBA,"$13,975,000",thomati01
2006-07,Los Angeles Clippers,NBA,"$5,215,000",thomati01
2007-08,Los Angeles Clippers,NBA,"$5,632,200",thomati01
2008-09,Chicago Bulls,NBA,"$6,049,400",thomati01
2009-10,Chicago Bulls,NBA,"$6,466,600",thomati01
2009-10,Dallas Mavericks,NBA,"$1,306,455",thomati01
Career,(may be incomplete),,"$97,873,455",thomati01
