Season,Team,Lg,Salary,player_id
2018-19,Houston Rockets,NBA,"$838,464",harteis01
2019-20,Houston Rockets,NBA,"$1,416,852",harteis01
2020-21,Cleveland Cavaliers,NBA,"$1,620,564",harteis01
2021-22,Los Angeles Clippers,NBA,"$1,729,217",harteis01
Career,(may be incomplete),,"$5,605,097",harteis01
