Season,Team,Lg,Salary,player_id
2001-02,Seattle SuperSonics,NBA,"$1,452,000",radmavl01
2002-03,Seattle SuperSonics,NBA,"$1,560,840",radmavl01
2003-04,Seattle SuperSonics,NBA,"$1,669,800",radmavl01
2004-05,Seattle SuperSonics,NBA,"$2,300,984",radmavl01
2005-06,Seattle SuperSonics,NBA,"$3,166,155",radmavl01
2006-07,Los Angeles Lakers,NBA,"$5,215,000",radmavl01
2007-08,Los Angeles Lakers,NBA,"$5,632,200",radmavl01
2008-09,Charlotte Bobcats,NBA,"$6,049,400",radmavl01
2009-10,Golden State Warriors,NBA,"$6,466,600",radmavl01
2010-11,Golden State Warriors,NBA,"$6,883,800",radmavl01
2011-12,Atlanta Hawks,NBA,"$1,352,181",radmavl01
2012-13,Chicago Bulls,NBA,"$1,352,181",radmavl01
Career,(may be incomplete),,"$43,101,141",radmavl01
