Season,Team,Lg,Salary,player_id
1993-94,Indiana Pacers,NBA,"$565,000",davisan01
1994-95,Indiana Pacers,NBA,"$700,000",davisan01
1995-96,Indiana Pacers,NBA,"$800,000",davisan01
1996-97,Indiana Pacers,NBA,"$5,200,000",davisan01
1997-98,Indiana Pacers,NBA,"$4,500,000",davisan01
1998-99,Indiana Pacers,NBA,"$3,500,000",davisan01
1999-00,Toronto Raptors,NBA,"$4,200,000",davisan01
2000-01,Toronto Raptors,NBA,"$5,500,000",davisan01
2001-02,Toronto Raptors,NBA,"$11,000,000",davisan01
2002-03,Toronto Raptors,NBA,"$12,000,000",davisan01
2003-04,Chicago Bulls,NBA,"$12,925,000",davisan01
2004-05,Chicago Bulls,NBA,"$12,925,000",davisan01
2005-06,New York Knicks,NBA,"$13,925,000",davisan01
Career,(may be incomplete),,"$87,740,000",davisan01
