Season,Team,Lg,Salary,player_id
2020-21,Detroit Pistons,NBA,"$5,307,120",hayeski01
2021-22,Detroit Pistons,NBA,"$5,572,680",hayeski01
Career,(may be incomplete),,"$10,879,800",hayeski01
