Season,Team,Lg,Salary,player_id
1984-85,Philadelphia 76ers,NBA,"$307,000",barklch01
1985-86,Philadelphia 76ers,NBA,"$437,500",barklch01
1987-88,Philadelphia 76ers,NBA,"$822,500",barklch01
1988-89,Philadelphia 76ers,NBA,"$1,536,000",barklch01
1989-90,Philadelphia 76ers,NBA,"$3,000,000",barklch01
1990-91,Philadelphia 76ers,NBA,"$2,900,000",barklch01
1991-92,Philadelphia 76ers,NBA,"$3,200,000",barklch01
1992-93,Phoenix Suns,NBA,"$2,420,000",barklch01
1993-94,Phoenix Suns,NBA,"$3,250,000",barklch01
1994-95,Phoenix Suns,NBA,"$4,030,000",barklch01
1995-96,Phoenix Suns,NBA,"$4,760,000",barklch01
1996-97,Houston Rockets,NBA,"$4,695,000",barklch01
1997-98,Houston Rockets,NBA,"$2,250,000",barklch01
1998-99,Houston Rockets,NBA,"$1,000,000",barklch01
1999-00,Houston Rockets,NBA,"$9,000,000",barklch01
Career,(may be incomplete),,"$43,608,000",barklch01
