Season,Team,Lg,Salary,player_id
1990-91,Golden State Warriors,NBA,"$1,000,000",hillty01
1991-92,Golden State Warriors,NBA,"$1,200,000",hillty01
1992-93,Golden State Warriors,NBA,"$1,400,000",hillty01
1993-94,Cleveland Cavaliers,NBA,"$1,075,000",hillty01
1994-95,Cleveland Cavaliers,NBA,"$2,820,000",hillty01
1995-96,Cleveland Cavaliers,NBA,"$3,425,000",hillty01
1996-97,Cleveland Cavaliers,NBA,"$3,480,000",hillty01
1997-98,Milwaukee Bucks,NBA,"$4,110,000",hillty01
1998-99,Philadelphia 76ers,NBA,"$5,352,000",hillty01
1999-00,Philadelphia 76ers,NBA,"$6,422,400",hillty01
2000-01,Philadelphia 76ers,NBA,"$7,300,000",hillty01
2001-02,Cleveland Cavaliers,NBA,"$6,600,000",hillty01
2002-03,Cleveland Cavaliers,NBA,"$6,600,000",hillty01
2003-04,Miami Heat,NBA,"$221,829",hillty01
Career,(may be incomplete),,"$51,006,229",hillty01
