Season,Team,Lg,Salary,player_id
1984-85,Milwaukee Bucks,NBA,"$345,000",mokespa01
1985-86,Milwaukee Bucks,NBA,"$370,000",mokespa01
1987-88,Milwaukee Bucks,NBA,"$350,000",mokespa01
1988-89,Milwaukee Bucks,NBA,"$375,000",mokespa01
1990-91,Golden State Warriors,NBA,"$100,000",mokespa01
Career,(may be incomplete),,"$1,540,000",mokespa01
