Season,Team,Lg,Salary,player_id
1995-96,Phoenix Suns,NBA,"$480,000",bennema01
1996-97,Phoenix Suns,NBA,"$555,000",bennema01
1997-98,Phoenix Suns,NBA,"$630,000",bennema01
1997-98,Los Angeles Lakers,NBA,"$272,500",bennema01
Career,(may be incomplete),,"$1,937,500",bennema01
