Season,Team,Lg,Salary,player_id
2016-17,Boston Celtics,NBA,"$250,000",bentibe01
2016-17,Indiana Pacers,NBA,"$50,000",bentibe01
2016-17,Dallas Mavericks,NBA,"$31,969",bentibe01
Career,(may be incomplete),,"$331,969",bentibe01
