Season,Team,Lg,Salary,player_id
2017-18,Cleveland Cavaliers,NBA,"$1,645,200",zizican01
2018-19,Cleveland Cavaliers,NBA,"$1,952,760",zizican01
2019-20,Cleveland Cavaliers,NBA,"$2,281,800",zizican01
Career,(may be incomplete),,"$5,879,760",zizican01
