Season,Team,Lg,Salary,player_id
2010-11,Memphis Grizzlies,NBA,"$473,604",smithis01
2011-12,Orlando Magic,NBA,"$522,486",smithis01
2011-12,Golden State Warriors,NBA,"$116,768",smithis01
2012-13,Milwaukee Bucks,NBA,"$854,389",smithis01
2013-14,Milwaukee Bucks,NBA,"$951,463",smithis01
2014-15,Houston Rockets,NBA,"$981,084",smithis01
2014-15,Philadelphia 76ers,NBA,"$981,084",smithis01
2015-16,Philadelphia 76ers,NBA,"$1,100,602",smithis01
2016-17,Detroit Pistons,NBA,"$6,000,000",smithis01
2017-18,Detroit Pistons,NBA,"$6,000,000",smithis01
2018-19,Detroit Pistons,NBA,"$6,000,000",smithis01
2019-20,Washington Wizards,NBA,"$6,000,000",smithis01
2020-21,Washington Wizards,NBA,"$6,000,000",smithis01
2021-22,Washington Wizards,NBA,"$4,500,000",smithis01
Career,(may be incomplete),,"$40,481,480",smithis01
