Season,Team,Lg,Salary,player_id
2008-09,Miami Heat,NBA,"$4,314,960",beaslmi01
2009-10,Miami Heat,NBA,"$4,638,600",beaslmi01
2010-11,Minnesota Timberwolves,NBA,"$4,962,240",beaslmi01
2011-12,Minnesota Timberwolves,NBA,"$6,262,347",beaslmi01
2012-13,Phoenix Suns,NBA,"$5,750,000",beaslmi01
2013-14,Phoenix Suns,NBA,"$4,666,667",beaslmi01
2013-14,Miami Heat,NBA,"$1,027,424",beaslmi01
2014-15,Phoenix Suns,NBA,"$777,778",beaslmi01
2014-15,Miami Heat,NBA,"$330,226",beaslmi01
2015-16,Houston Rockets,NBA,"$306,527",beaslmi01
2016-17,Milwaukee Bucks,NBA,"$1,403,611",beaslmi01
2016-17,Phoenix Suns,NBA,"$777,777",beaslmi01
2017-18,New York Knicks,NBA,"$1,471,382",beaslmi01
2018-19,Los Angeles Clippers,NBA,"$3,500,000",beaslmi01
Career,(may be incomplete),,"$40,189,539",beaslmi01
