Season,Team,Lg,Salary,player_id
1991-92,Minnesota Timberwolves,NBA,"$1,590,000",longllu01
1992-93,Minnesota Timberwolves,NBA,"$1,590,000",longllu01
1993-94,Minnesota Timberwolves,NBA,"$1,590,000",longllu01
1994-95,Chicago Bulls,NBA,"$1,590,000",longllu01
1995-96,Chicago Bulls,NBA,"$2,300,000",longllu01
1996-97,Chicago Bulls,NBA,"$2,790,000",longllu01
1997-98,Chicago Bulls,NBA,"$3,184,900",longllu01
1998-99,Phoenix Suns,NBA,"$4,000,000",longllu01
1999-00,Phoenix Suns,NBA,"$5,175,000",longllu01
2000-01,New York Knicks,NBA,"$5,750,000",longllu01
2001-02,New York Knicks,NBA,"$6,325,000",longllu01
2002-03,New York Knicks,NBA,"$6,900,000",longllu01
Career,(may be incomplete),,"$42,784,900",longllu01
